selling_price,availability,color,category,average_rating,reviews_count
40,InStock,Black,Clothing,4.5,35
150,InStock,Grey,Shoes,4.8,4
70,InStock,White,Clothing,4.9,42
160,InStock,Black,Shoes,3.7,7
65,InStock,Blue,Clothing,4.7,11
110,InStock,Grey,Shoes,4.9,30
80,InStock,Black,Clothing,4.5,17
60,InStock,Black,Clothing,4.5,16
40,InStock,Black,Clothing,4.5,35
65,InStock,Black,Clothing,4.8,66
60,InStock,Black,Clothing,4.4,26
20,InStock,White,Accessories,4,5
70,InStock,White,Clothing,5,2
14,InStock,Black,Accessories,4.8,21
30,InStock,Blue,Accessories,5,19
20,InStock,Purple,Clothing,4.8,116
20,InStock,Pink,Clothing,4.8,116
50,InStock,White,Shoes,4.8,46
20,InStock,Green,Clothing,4.8,116
48,InStock,Blue,Clothing,4.2,144
64,InStock,Blue,Shoes,4.4,160
91,InStock,Purple,Shoes,4.5,63
56,InStock,Grey,Shoes,4.6,135
20,InStock,Pink,Shoes,4.6,327
20,InStock,White,Clothing,4.8,116
10,InStock,White,Accessories,5,10
32,InStock,Purple,Clothing,4.7,49
64,InStock,White,Shoes,4.3,106
18,InStock,Yellow,Clothing,4.4,7
44,InStock,Green,Clothing,5,21
20,InStock,Black,Clothing,4.4,7
24,InStock,Blue,Clothing,4.6,78
84,InStock,Blue,Shoes,4.5,204
35,InStock,Black,Shoes,5,9
40,InStock,Blue,Clothing,4.7,14
120,InStock,Black,Clothing,4,2
120,InStock,White,Clothing,4,2
56,InStock,Green,Clothing,4.8,20
24,InStock,Green,Clothing,4.7,104
42,InStock,Blue,Clothing,4.9,88
60,InStock,White,Shoes,4.2,120
18,InStock,Grey,Clothing,4.8,54
20,InStock,Black,Clothing,4,6
105,InStock,White,Shoes,4.7,2540
56,InStock,Blue,Shoes,4.6,135
44,InStock,Blue,Clothing,5,21
105,InStock,White,Shoes,4.7,58
60,InStock,Grey,Shoes,4.8,78
42,InStock,Blue,Clothing,4.8,8
105,InStock,Black,Shoes,4.7,183
60,InStock,Purple,Clothing,5,1
36,InStock,Blue,Clothing,5,8
20,InStock,Pink,Clothing,4,2
36,InStock,Black,Clothing,4.3,16
36,InStock,Black,Clothing,4.9,19
41,InStock,Purple,Clothing,4.3,16
105,InStock,Green,Shoes,4.7,58
10,InStock,Grey,Accessories,4.8,6
32,InStock,Grey,Clothing,4.6,14
40,InStock,Purple,Clothing,4.6,57
135,InStock,White,Shoes,4.7,183
135,InStock,Blue,Shoes,4.3,26
53,InStock,White,Shoes,4.8,78
64,InStock,Grey,Shoes,4.6,146
68,InStock,Black,Shoes,4.6,377
52,InStock,White,Shoes,4.8,59
70,InStock,Blue,Shoes,3.9,515
56,InStock,White,Shoes,4.6,37
56,InStock,White,Shoes,4.5,808
105,InStock,White,Shoes,4.7,58
105,InStock,Purple,Shoes,4.7,58
70,InStock,White,Shoes,4.2,77
77,InStock,Grey,Shoes,5,1
70,InStock,Black,Shoes,3.9,515
77,InStock,Black,Shoes,5,1
70,InStock,Grey,Shoes,4.2,77
70,InStock,Pink,Shoes,4.2,77
52,InStock,White,Shoes,4.7,838
21,InStock,Black,Clothing,4.8,349
70,InStock,White,Shoes,4.2,77
56,InStock,White,Shoes,4.2,350
96,InStock,White,Shoes,4.3,8
27,InStock,Red,Clothing,4.8,349
56,InStock,Yellow,Shoes,4.2,350
20,InStock,Green,Clothing,4.6,344
13,InStock,White,Accessories,4.6,62
46,InStock,Yellow,Clothing,4.8,387
48,InStock,Blue,Clothing,4.8,214
20,InStock,Green,Clothing,4.7,293
28,InStock,Black,Accessories,4.8,14
40,InStock,Blue,Clothing,4.4,91
12,InStock,Green,Accessories,4.9,273
13,InStock,White,Accessories,4.9,273
10,InStock,White,Accessories,4.8,60
64,InStock,Multicolor,Clothing,4.7,88
77,InStock,Blue,Clothing,4.7,47
36,InStock,Purple,Clothing,4.9,37
80,InStock,Black,Clothing,4.3,3
60,InStock,Pink,Shoes,4.7,1918
60,InStock,Pink,Shoes,4.7,1918
18,InStock,White,Clothing,4.6,40
36,InStock,Blue,Clothing,3.9,134
28,InStock,Gold,Shoes,4.7,3812
28,InStock,White,Shoes,4.7,3812
39,InStock,Green,Clothing,4.7,66
28,InStock,Purple,Shoes,4.7,3812
44,InStock,Blue,Clothing,4.7,44
20,InStock,White,Clothing,4.7,35
32,InStock,Black,Clothing,4.7,201
36,InStock,Black,Clothing,3.9,134
24,InStock,Grey,Clothing,4.6,67
28,InStock,Purple,Clothing,4.5,236
68,InStock,Pink,Clothing,5,6
28,InStock,Pink,Clothing,4.7,201
24,InStock,Green,Clothing,4.6,78
21,InStock,Grey,Clothing,4.6,78
46,InStock,Blue,Clothing,4.8,66
32,InStock,Red,Clothing,4.8,51
24,InStock,Blue,Clothing,4.6,78
44,InStock,Black,Clothing,4.7,44
52,InStock,Black,Clothing,4.8,66
32,InStock,Blue,Clothing,4.8,51
28,InStock,Black,Shoes,4.7,3812
44,InStock,Blue,Clothing,4.7,54
32,InStock,Black,Clothing,4.9,30
24,InStock,Blue,Clothing,4.6,67
28,InStock,Gold,Clothing,4.7,201
48,InStock,Blue,Clothing,4.6,67
28,InStock,Pink,Shoes,4.7,3812
28,InStock,Black,Shoes,4.7,3812
28,InStock,Blue,Clothing,4.9,30
24,InStock,Burgundy,Clothing,4.6,78
56,InStock,Black,Shoes,4.8,29
42,InStock,Green,Clothing,4.6,67
46,InStock,Blue,Clothing,4.8,66
108,InStock,White,Shoes,4.5,385
64,InStock,White,Shoes,4.4,44
60,InStock,Grey,Shoes,4.6,377
60,InStock,Black,Shoes,4.6,377
84,InStock,Black,Shoes,4.8,80
63,InStock,White,Shoes,4.4,594
56,InStock,White,Shoes,4.4,44
56,InStock,White,Shoes,4.4,594
56,InStock,White,Shoes,4.4,44
49,InStock,White,Shoes,4.4,594
91,InStock,Blue,Shoes,4.2,77
56,InStock,White,Shoes,4.5,72
90,InStock,Black,Shoes,4.7,344
32,InStock,Red,Shoes,4.4,207
56,InStock,White,Shoes,4.4,594
32,InStock,White,Shoes,4.4,207
90,InStock,Green,Shoes,4.7,344
91,InStock,White,Shoes,4.2,77
32,InStock,Black,Shoes,4.4,207
32,InStock,Black,Shoes,4.4,207
32,InStock,Black,Shoes,4.4,207
90,InStock,White,Shoes,4.7,344
105,InStock,Grey,Shoes,4.7,183
105,InStock,White,Shoes,4.7,183
20,InStock,Green,Clothing,4.3,27
105,InStock,Black,Shoes,4.7,183
18,InStock,Blue,Clothing,4.8,53
48,InStock,Black,Clothing,4.7,25
60,InStock,White,Shoes,4.3,55
48,InStock,Purple,Clothing,4.7,25
32,InStock,White,Shoes,4.4,207
60,InStock,Red,Shoes,4.3,55
105,InStock,Blue,Shoes,4.7,183
56,InStock,Grey,Clothing,4.2,32
32,InStock,Black,Clothing,4.6,8
48,InStock,Multicolor,Clothing,4.9,19
64,InStock,Grey,Shoes,4.4,152
20,InStock,Pink,Clothing,4.3,27
64,InStock,Purple,Shoes,4.4,152
56,InStock,Black,Clothing,4.2,32
24,InStock,Grey,Clothing,4.6,5
56,InStock,Grey,Shoes,4.4,152
40,InStock,Black,Clothing,4.8,42
20,InStock,Purple,Clothing,4.3,27
10,InStock,White,Accessories,4.7,76
9,InStock,White,Accessories,4.7,76
40,InStock,Blue,Clothing,4.5,29
56,InStock,White,Shoes,4.6,608
32,InStock,Black,Clothing,4.8,47
16,InStock,Black,Accessories,5,1
52,InStock,Red,Clothing,4.2,5
52,InStock,Grey,Clothing,4.8,89
36,InStock,White,Shoes,4.8,580
96,InStock,White,Shoes,4.5,275
64,InStock,Black,Shoes,4.5,214
59,InStock,Pink,Clothing,4.6,14
19,InStock,Burgundy,Accessories,4.6,29
36,InStock,Black,Clothing,3.7,20
25,InStock,White,Clothing,4.9,35
60,InStock,Blue,Clothing,5,6
52,InStock,Black,Shoes,4.4,454
48,InStock,Black,Shoes,4.7,117
46,InStock,Grey,Shoes,4.4,454
96,InStock,Black,Shoes,4.5,275
46,InStock,White,Shoes,4.4,454
46,InStock,Pink,Shoes,4.4,454
53,InStock,White,Shoes,4.8,59
36,InStock,Pink,Shoes,4.8,18
128,InStock,White,Shoes,4.6,241
98,InStock,Black,Shoes,4.5,21
46,InStock,Black,Shoes,4.4,454
64,InStock,Grey,Shoes,4.6,146
72,InStock,Black,Shoes,4.6,146
64,InStock,Grey,Shoes,4.6,146
112,InStock,Black,Shoes,4.5,21
32,InStock,Blue,Clothing,4.9,15
84,InStock,White,Shoes,4.5,275
52,InStock,Black,Shoes,4.5,762
72,InStock,Black,Shoes,4.6,146
84,InStock,Beige,Shoes,4.8,83
36,InStock,White,Shoes,4.8,31
84,InStock,Black,Shoes,4.5,275
84,InStock,Grey,Shoes,4.8,83
72,InStock,White,Shoes,4.6,146
60,InStock,Beige,Shoes,3.9,60
84,InStock,Grey,Shoes,4.5,275
108,InStock,Green,Shoes,4.8,83
36,InStock,Blue,Clothing,3.7,20
60,InStock,Black,Shoes,3.9,60
108,InStock,Yellow,Shoes,4.8,83
108,InStock,Beige,Shoes,4.8,83
52,InStock,Black,Clothing,4.2,5
52,InStock,White,Clothing,4.2,5
20,InStock,Burgundy,Clothing,4.7,41
52,InStock,Pink,Clothing,4.9,154
41,InStock,Black,Accessories,4.7,132
32,InStock,Grey,Clothing,4.8,239
77,InStock,Beige,Shoes,5,1
20,InStock,Black,Accessories,5,51
25,InStock,Multicolor,Clothing,4.2,33
32,InStock,Multicolor,Accessories,4.6,7
28,InStock,White,Shoes,4.7,7291
20,InStock,Grey,Accessories,5,51
24,InStock,Black,Shoes,4.8,84
44,OutOfStock,Black,Clothing,4.8,16
52,InStock,White,Shoes,4.7,838
24,InStock,White,Clothing,4.6,67
21,InStock,Black,Accessories,4.8,12
32,InStock,Black,Shoes,4.7,7291
63,InStock,Black,Shoes,4.7,1891
20,InStock,Black,Shoes,4.5,5815
21,InStock,Green,Accessories,4.8,12
28,InStock,Pink,Shoes,4.7,7291
52,InStock,Green,Shoes,4.7,838
20,InStock,Blue,Shoes,4.5,5815
24,InStock,White,Clothing,4.6,78
28,InStock,Blue,Shoes,4.7,7291
81,InStock,White,Shoes,4.7,1891
56,InStock,White,Shoes,4.6,619
63,InStock,White,Shoes,4.7,1891
35,InStock,Green,Accessories,4.9,28
18,InStock,White,Accessories,4.8,5
44,InStock,Black,Shoes,4.5,449
40,InStock,Burgundy,Accessories,5,3
40,InStock,White,Shoes,4.8,545
35,InStock,Black,Accessories,4.9,28
77,InStock,White,Shoes,4.8,332
50,InStock,Black,Shoes,4.5,449
52,InStock,White,Shoes,4.6,1050
77,InStock,Black,Shoes,4.8,332
20,InStock,Blue,Shoes,4.6,2274
35,InStock,Grey,Shoes,4.8,463
20,InStock,Pink,Shoes,4.6,2274
40,InStock,White,Shoes,4.8,545
44,InStock,Black,Shoes,4.8,234
98,InStock,White,Shoes,4.6,491
20,InStock,White,Shoes,4.5,5499
20,InStock,Blue,Shoes,4.6,2274
44,InStock,White,Shoes,4.5,449
44,InStock,Black,Shoes,4.5,449
98,InStock,Blue,Shoes,4.6,491
112,InStock,Black,Shoes,4.6,491
60,InStock,Grey,Clothing,4.7,45
24,InStock,White,Shoes,4.5,245
16,InStock,Multicolor,Accessories,4.9,76
16,InStock,White,Accessories,4.8,154
70,InStock,White,Shoes,4.5,1047
52,InStock,Red,Clothing,4.8,671
16,InStock,Multicolor,Accessories,4.8,68
16,InStock,White,Accessories,4.8,68
48,InStock,Blue,Shoes,4.6,1365
52,InStock,Pink,Clothing,4.8,671
80,InStock,White,Shoes,4.5,1047
80,InStock,White,Shoes,4.5,1047
24,InStock,Blue,Clothing,4.9,165
36,InStock,Black,Accessories,4.8,59
50,InStock,Blue,Shoes,4.5,1030
80,InStock,Grey,Shoes,4.5,1030
20,InStock,Blue,Accessories,4.8,176
72,InStock,White,Shoes,4.7,1095
24,InStock,Grey,Clothing,4.9,165
44,InStock,Grey,Clothing,4.5,47
60,InStock,Green,Clothing,5,2
36,InStock,Multicolor,Accessories,4.8,59
25,InStock,Red,Clothing,4.2,5
80,InStock,White,Shoes,4.5,1030
70,InStock,White,Shoes,4.5,1030
25,InStock,White,Clothing,4.2,5
88,InStock,White,Shoes,4.7,1095
16,InStock,Multicolor,Accessories,5,18
80,InStock,Black,Shoes,4.5,1030
70,InStock,Purple,Shoes,4.5,1030
24,InStock,Black,Shoes,4.7,470
16,InStock,Multicolor,Accessories,4.8,68
11,InStock,Multicolor,Accessories,4.9,17
13,InStock,White,Accessories,4.8,5
12,InStock,Grey,Accessories,5,2
32,InStock,Red,Accessories,4.8,64
36,InStock,Grey,Accessories,4.8,59
72,InStock,White,Shoes,4.7,11750
23,InStock,White,Clothing,3,2
36,InStock,Black,Accessories,4.8,64
72,InStock,White,Shoes,4.7,11750
36,InStock,Blue,Accessories,4.8,64
80,InStock,White,Shoes,4.7,11750
64,InStock,Black,Clothing,4,1
28,InStock,White,Clothing,4.7,1352
32,InStock,Red,Clothing,4.7,1352
25,InStock,Black,Clothing,4.2,5
33,InStock,White,Clothing,4.7,69
52,InStock,Pink,Clothing,4.8,237
21,InStock,White,Clothing,4.5,46
36,InStock,White,Clothing,4.7,350
25,InStock,Blue,Clothing,4.2,5
18,InStock,Yellow,Clothing,4.7,427
38,InStock,Burgundy,Clothing,4.7,69
18,InStock,Green,Clothing,4.7,427
20,InStock,Blue,Clothing,4.7,427
45,InStock,Grey,Clothing,4.4,215
36,InStock,Blue,Clothing,4.9,19
52,InStock,Pink,Clothing,4.8,8
26,InStock,Pink,Clothing,4.4,10
26,InStock,Green,Clothing,4.4,10
26,InStock,White,Clothing,4.4,10
52,InStock,Purple,Clothing,4.8,8
48,InStock,Black,Clothing,4.4,9
23,InStock,Blue,Clothing,4.5,8
21,InStock,Green,Clothing,4.5,46
48,InStock,White,Clothing,4.4,9
70,InStock,Black,Shoes,4.7,11750
24,InStock,Green,Clothing,5,6
28,InStock,Black,Clothing,4.8,17
24,InStock,Blue,Clothing,5,6
36,InStock,Pink,Clothing,4.7,307
26,InStock,White,Clothing,4.9,37
56,InStock,Black,Clothing,4.1,16
52,InStock,Black,Clothing,4.8,43
21,InStock,Blue,Clothing,4.5,46
49,InStock,Green,Clothing,4.8,142
27,InStock,Black,Accessories,4.8,298
52,InStock,Grey,Clothing,4.6,16
36,InStock,Orange,Clothing,4.9,104
45,InStock,Green,Clothing,4.5,128
32,InStock,Red,Clothing,4.5,56
32,InStock,Blue,Clothing,4.7,307
23,InStock,Pink,Clothing,4.9,37
23,InStock,Green,Clothing,4.7,34
56,InStock,Blue,Clothing,4.7,23
56,InStock,Black,Clothing,4.7,23
77,InStock,Green,Shoes,4.7,111
52,InStock,Blue,Clothing,4.8,43
56,InStock,Grey,Clothing,4.5,29
28,InStock,Green,Clothing,4.9,18
36,InStock,Pink,Clothing,4.8,22
49,InStock,Multicolor,Clothing,4.8,19
63,InStock,Black,Clothing,4.3,9
28,InStock,Black,Clothing,5,9
19,InStock,Black,Accessories,4.9,34
44,InStock,Blue,Clothing,4.7,29
35,InStock,Green,Clothing,4.8,4
32,InStock,Blue,Clothing,4.9,42
36,InStock,Blue,Clothing,4.9,38
56,InStock,Multicolor,Clothing,4.8,19
35,InStock,Black,Clothing,4.8,4
32,InStock,Blue,Clothing,5,15
18,InStock,Red,Accessories,4.5,15
56,InStock,Black,Clothing,4.8,32
16,InStock,Black,Accessories,4.5,15
24,InStock,White,Clothing,4.8,18
49,InStock,Orange,Clothing,5,2
49,InStock,Black,Clothing,5,2
28,InStock,White,Clothing,4.8,4
49,InStock,Blue,Clothing,5,2
56,InStock,Blue,Clothing,4.8,32
13,InStock,Black,Accessories,4.8,45
13,InStock,White,Accessories,4.8,45
52,InStock,Pink,Clothing,4.7,63
40,InStock,Black,Clothing,5,2
13,InStock,White,Accessories,4.8,45
64,InStock,Orange,Clothing,4.9,35
13,InStock,White,Accessories,4.8,45
28,InStock,Black,Clothing,4.6,74
13,InStock,White,Accessories,4.8,45
72,InStock,White,Shoes,4.6,1841
72,InStock,White,Shoes,4.7,9636
63,InStock,White,Shoes,4.7,9636
72,InStock,White,Shoes,4.6,1841
72,InStock,White,Shoes,4.6,1841
84,InStock,Grey,Shoes,4.5,204
36,InStock,Burgundy,Clothing,3.7,3
23,InStock,Blue,Accessories,4.6,48
63,InStock,White,Shoes,4.6,1841
21,InStock,Pink,Shoes,4.7,454
105,InStock,Grey,Shoes,4.7,2540
21,InStock,White,Shoes,4.7,454
13,InStock,Green,Accessories,4.8,45
105,InStock,Red,Shoes,4.7,2540
112,InStock,Grey,Shoes,4.6,3938
21,InStock,Orange,Shoes,4.7,454
